date,readiness_score_value,readiness_state,activity_subcomponent,sleep_subcomponent,hrv_subcomponent,activity_state,sleep_state,hrv_state
2024-02-20,100.0,HIGH,100.0,72.0,48.0,LOW,HIGH,MEDIUM
2024-02-19,100.0,HIGH,100.0,84.0,54.0,LOW,HIGH,MEDIUM
2024-02-18,98.0,HIGH,98.0,89.0,42.0,LOW,HIGH,MEDIUM
2024-02-17,88.0,HIGH,88.0,84.0,45.0,LOW,HIGH,MEDIUM
2024-02-16,100.0,HIGH,100.0,90.0,40.0,LOW,HIGH,MEDIUM
2024-02-15,100.0,HIGH,100.0,89.0,52.0,LOW,HIGH,MEDIUM
2024-02-14,87.0,HIGH,87.0,59.0,48.0,LOW,MEDIUM,MEDIUM
2024-02-13,62.0,MEDIUM,62.0,84.0,42.0,MEDIUM,HIGH,MEDIUM
2024-02-12,15.0,LOW,15.0,93.0,50.0,HIGH,HIGH,MEDIUM
2024-02-11,1.0,LOW,0.0,95.0,46.0,HIGH,HIGH,MEDIUM
2024-02-10,13.0,LOW,13.0,94.0,55.0,HIGH,HIGH,MEDIUM
2024-02-09,38.0,MEDIUM,38.0,87.0,49.0,MEDIUM,HIGH,MEDIUM
2024-02-08,27.0,LOW,27.0,96.0,57.0,HIGH,HIGH,MEDIUM
2024-02-07,8.0,LOW,8.0,93.0,55.0,HIGH,HIGH,MEDIUM
2024-02-06,9.0,LOW,9.0,46.0,65.0,HIGH,MEDIUM,MEDIUM
2024-02-05,1.0,LOW,0.0,93.0,58.0,HIGH,HIGH,MEDIUM
2024-02-04,33.0,MEDIUM,33.0,93.0,53.0,MEDIUM,HIGH,MEDIUM
2024-02-03,50.0,MEDIUM,50.0,83.0,50.0,MEDIUM,HIGH,MEDIUM
2024-02-02,26.0,LOW,26.0,82.0,52.0,HIGH,HIGH,MEDIUM
2024-02-01,100.0,HIGH,100.0,85.0,62.0,LOW,HIGH,MEDIUM
